Location name,Amount spent (USD)
Alabama,45226324
Alaska,17407482
American Samoa,14969
Arizona,184201341
Arkansas,29374651
California,514043689
Colorado,93876251
Connecticut,40894607
Delaware,12809674
Florida,324589515
Georgia,195980878
Guam,510347
Hawaii,13214729
Idaho,19453843
Illinois,152914601
Indiana,66064666
Iowa,56173210
Kansas,33039077
Kentucky,51560474
Louisiana,50737296
Maine,35678003
Maryland,75769807
Massachusetts,77585909
Michigan,234177757
Minnesota,81932908
Mississippi,26654181
Missouri,66996460
Montana,31417529
Nebraska,23377541
Nevada,78589650
New Hampshire,32397480
New Jersey,107494618
New Mexico,29714033
New York,259514546
North Carolina,194219829
North Dakota,7115417
Northern Mariana Islands,14773
Ohio,159789464
Oklahoma,39928137
Oregon,59835372
Pennsylvania,284021694
Puerto Rico,1971612
Rhode Island,11357581
South Carolina,62657245
South Dakota,9114728
Tennessee,67189164
Texas,329172616
Unknown,521968339
Utah,32967555
Vermont,9116879
Virgin Islands (U.S.),65367
Virginia,123844514
Washington,86792618
"Washington, District of Columbia",26003739
West Virginia,25337725
Wisconsin,145576524
Wyoming,7512371